Verb,English,je,tu,il/elle,nous,vous,ils/elles
importer,to import,importe,importes,importe,importons,importez,importent
jouer,to play,joue,joues,joue,jouons,jouez,jouent
laisser,to let,laisse,laisses,laisse,laissons,laissez,laissent
lever,to get up,lève,lèves,lève,levons,levez,lèvent
lire,to read,lis,lis,lit,lisons,lisez,lisent
manger,to eat,mange,manges,mange,mangeons,mangez,mangent
manquer,to miss,manque,manques,manque,manquons,manquez,manquent
marcher,to walk,marche,marches,marche,marchons,marchez,marchent
mener,to lead,mène,mènes,mène,menons,menez,mènent
mettre,to put,mets,mets,met,mettons,mettez,mettent
montrer,to show,montre,montres,montre,montrons,montrez,montrent
mourir,to die,meurs,meurs,meurt,mourons,mourez,meurent
nager,to swim,nage,nages,nage,nageons,nagez,nagent
obtenir,to obtain,obtiens,obtiens,obtent,obtenons,obtenez,obtiennent
occuper,to occupy,occupe,occupes,occupe,occupons,occupez,occupent
oublier,to forget,oublie,oublies,oublie,oublions,oubliez,oublient
ouvrir,to open,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
parler,to speak,parle,parles,parle,parlons,parlez,parlent
partir,to leave,pars,parts,part,partons,partez,partent
passer,to pass,passe,passes,passe,passons,passez,passent
peinturer,to paint,peinture,peintures,peinture,peinturons,peinturez,peinturent
penser,to think,pense,penses,pense,pensons,pensez,pensent
perdre,to lose,perdre,perdres,perdre,perdons,perdez,perdent
permettre,to allow,permets,permets,permet,permettons,permettez,permettent
pleurer,to cry; to weep,pleure,pleures,pleure,pleurons,pleurez,pleurent
porter,to carry; to wear,porte,portes,porte,portons,portez,portent
poser,to put down,pose,poses,pose,posons,posez,posent
pousser,to push,pousse,pousses,pousse,poussons,poussez,poussent
pouvoir,to be able to,peux,peux,peut,pouvons,pouvez,peuvent
prendre,to take,prends,prends,prend,prenons,prenez,prennent
produire,to produce,produis,produis,produit,produisons,produisez,produisent
promener,to take a walk,promène,promènes,promène,promenons,promenez,promènent
proposer,to suggest,propose,proposes,propose,proposons,proposez,proposent
préparer,to prepare,prépare,prépares,prépare,préparons,préparez,préparent
présenter,to present,présente,présentes,présente,présentons,présentez,présentent
rappeler,to call back,rappelle,rappelles,rappelle,rappelons,rappelez,rappellent
recevoir,to receive,reçois,reçois,reçoit,recevons,recevez,reçoivent
reconnaître,to recognize,reconnais,reconnais,reconnaît,reconnaissons,reconnaissez,reconnaissent
refuser,to refuse,refuse,refuses,refuse,refusons,refusez,refusent
regarder,to watch,regarde,regardes,regarde,regardons,regardez,regardent
relever,to raise,relève,relèves,relève,relevons,relevez,relèvent
remettre,to put back,remets,remets,remet,remettons,remettez,remettent
rencontrer,to meet,recontre,recontres,recontre,recontrons,recontrez,recontrent
rendre,to return,rends,rends,rend,rendons,rendez,rendent
reprendre,to resume,reprend,reprends,reprend,reprenons,reprenez,reprennent
représenter,to represent,représente,représentes,représente,représentons,représentez,représentent
rester,to stay,reste,restes,reste,restons,restez,restent
retrouver,to find; to regain,retrouve,retrouves,retrouve,retrouvons,retrouvez,retrouvent
revenir,to return,reviens,reviens,revient,revenons,revenez,reviennent
rire,to laugh,ris,ris,rit,rions,riez,rient
risquer,to risk,risque,risques,risque,risquons,risquez,risquent
répondre,to reply,réponds,réponds,répond,répondons,répondez,répondent
répéter,to repeat,répète,répètes,répète,répétons,répétez,répètent
réussir,to succeed,réussis,réussis,réussit,réussissons,réussissez,réussissent
réveiller,to wake up,réveille,réveilles,réveille,réveillons,réveillez,réveillent
rêver,to dream,rêve,rêves,rêve,rêvons,rêvez,rêvent
savoir,to know,sais,sais,sait,savons,savez,savent
sembler,to seem,semble,sembles,semble,semblons,semblez,semblent
sentir,to feel; to smell,sens,sens,sent,sentons,sentez,sentent
servir,to serve,sers,sers,sert,servons,servez,servent
sortir,to go out,sors,sors,sort,sortons,sortez,sortent
souhaiter,to wish,souhaite,souhaites,souhaite,souhaitons,souhaitez,souhaitent
souvenir,to remember,souviens,souviens,souvient,souvenons,souvenez,souviennent
suivre,to follow,suis,suis,suit,suivons,suivez,suivent
tenir,to hold; to keep,tiens,tiens,tient,tenons,tenez,tiennent
tenter,to tempt,tente,tentes,tente,tentons,tentez,tentent
terminer,to terminate; to end,termine,termines,termine,terminons,terminez,terminent
tester,to test,teste,testes,teste,testons,testez,testent
tirer,to pull,tire,tires,tire,tirons,tirez,tirent
tomber,to fall,tombe,tombes,tombe,tombons,tombez,tombent
toucher,to touch,touche,touches,touche,touchons,touchez,touchent
travailler,to work,travaille,travailles,travaille,travaillons,travaillez,travaillent
trouver,to find,trouve,trouves,trouve,trouvons,trouvez,trouvent
utiliser,to use,utilise,utilises,utilise,utilisons,utilisez,utilisent
vendre,to sell,vends,vends,vend,vendons,vendez,vendent
venir,to come,viens,viens,vient,venons,venez,viennent
vivre,to live,vis,vis,vit,vivons,vivez,vivent
voir,to see,vois,vois,voit,voyons,voyez,voient
voler,to steal; to fly,vole,voles,vole,volons,volez,volent
vouloir,to want,veux,veux,veut,voulons,voulez,veulent
écouter,to listen,écoute,écoutes,écoute,écoutons,écoutez,écoutent
écrire,to write,écris,écris,écrit,écrivons,écrivez,écrivent
être,to be,suis,es,est,sommes,êtes,sont
